No,Clinic Name,Location (Jakarta),Contact (Phone/WA),Social Media / Source
47,FDC - Pasar Minggu,"Pasar Minggu, South Jakarta",+62 811-1220-5844,@fdcdentalclinic
48,Primera Dental Clinic,"Pondok Bambu, East Jakarta",-,@primeradental
49,Smart Dental - MOI,North Jakarta,+62 812-9898-111,@smartdentalid
50,Mint Dental,South Jakarta,+62 811-1234-567,@mint.dental.clinic
51,Audy Dental - Cipete,South Jakarta,+62 21-729-1065,@audydental
52,FDC - Radio Dalam,South Jakarta,+62 811-1220-5833,@fdcdentalclinic
53,SATU Dental - Tebet,South Jakarta,+62 811-1910-0163,@satudental
54,Orange Dental - MTH,South Jakarta,-,@orangedentalhouse
55,Elite Dental Clinic,"Radio Dalam, South Jakarta",+62 21-7278-8311,@elitedentaljkt
56,MHDC Wisma 46,"Tanah Abang, Central Jakarta",+62 21-574-6330,@mhdc.group
57,Ocean Dental,"Kelapa Gading, North Jakarta",+62 811-1220-5858,@ocean_dental
58,OMDC Dental,"Mampang, South Jakarta",+62 21-7919-6145,@omdc_official
59,Royal Smile Dental,"Kemang, South Jakarta",+62 21-7179-4437,@royalsmile_id
60,Golden Dental Center,West Jakarta,+62 21-5694-1111,@goldendentalid
61,Audy Dental - Bintaro,South Jakarta,+62 21-7388-1234,@audydental
62,FDC - Kalimalang,East Jakarta,+62 811-1220-5855,@fdcdentalclinic
63,SATU Dental - Sunter,North Jakarta,+62 811-1910-0163,@satudental
64,Orange Dental - Cipete,South Jakarta,+62 811-1582-121,@orangedentalhouse
65,Happy Dental,"Grand Indonesia, Central Jakarta",+62 21-2358-1991,@happydentalid
66,Maesa Dental Clinic,"Senopati, South Jakarta",+62 811-1001-1688,@maesadental
67,Opal Dental Indonesia,"Kebayoran Baru, South Jakarta",+62 812-3456-7890,@opaldental
68,Tooth's Kingdom,"Bendungan Hilir, Central Jakarta",+62 21-570-0111,@toothskingdom
69,Noto Puri Indah,West Jakarta,+62 21-2252-1234,@noto.puri
70,FDC - Tebet,South Jakarta,+62 811-1220-5833,@fdcdentalclinic
71,SATU Dental - Menteng,Central Jakarta,+62 811-1910-0163,@satudental
72,Audy Dental - Saharjo,South Jakarta,+62 21-831-1234,@audydental
73,FDC - Pondok Kelapa,East Jakarta,+62 811-1220-5844,@fdcdentalclinic
74,SATU Dental - Pluit,North Jakarta,+62 811-1910-0163,@satudental
75,Orange Dental - Tebet,South Jakarta,+62 811-1582-121,@orangedentalhouse
76,Audy Dental - Joglo,West Jakarta,+62 21-5890-1234,@audydental
77,FDC - Lenteng Agung,South Jakarta,+62 811-1220-5866,@fdcdentalclinic
78,SATU Dental - Green Lake,West Jakarta,+62 811-1910-0163,@satudental
79,Orange Dental - Sudirman,Central Jakarta,+62 811-1582-121,@orangedentalhouse
80,Audy Dental - Pondok Indah,South Jakarta,+62 21-729-1234,@audydental
81,FDC - Bendungan Hilir,Central Jakarta,+62 811-1220-5877,@fdcdentalclinic
82,SATU Dental - Cempaka Putih,Central Jakarta,+62 811-1910-0163,@satudental
83,Orange Dental - Kedoya,West Jakarta,+62 811-1582-121,@orangedentalhouse
84,Audy Dental - Greenville,West Jakarta,+62 21-5694-1122,@audydental
85,FDC - Kebun Jeruk,West Jakarta,+62 811-1220-5888,@fdcdentalclinic
86,SATU Dental - Rawamangun,East Jakarta,+62 811-1910-0163,@satudental
87,Orange Dental - Tj Duren,West Jakarta,+62 811-1582-121,@orangedentalhouse
88,Audy Dental - Kelapa Gading,North Jakarta,+62 21-4585-1234,@audydental
89,FDC - Pondok Gede (Jkt),East Jakarta,+62 811-1220-5899,@fdcdentalclinic
90,SATU Dental - Klender,East Jakarta,+62 811-1910-0163,@satudental
91,Orange Dental - Bintaro,South Jakarta,+62 811-1582-121,@orangedentalhouse
92,Audy Dental - Mangga Besar,West Jakarta,+62 21-626-1234,@audydental
93,FDC - Muara Karang,North Jakarta,+62 811-1220-5822,@fdcdentalclinic
94,SATU Dental - Kebayoran,South Jakarta,+62 811-1910-0163,@satudental
95,Escalade Dental - Kuningan,South Jakarta,+62 21-5794-7792,@escaladedental
96,Arista Dental Care,Jakarta,-,@ariestadentalcare
97,e-Dental,Jakarta,-,@edental.id
98,Dentique Dental,East Jakarta,+62 21-8661-3932,@dentistique.id
99,Prima Dental Clinic,East Jakarta,-,@dentalrsubundajakarta
100,Success Dental,"Jatinegara, East Jakarta",+62 21-819-1234,@succesdentalclinic
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,```,
